id,userid,courseid,finalgrade,timemodified
83,109,1,84.6,1779467211
84,110,1,78.1,1774575074
85,112,1,90.0,1780541400
86,113,1,80.6,1770853253
87,114,1,82.1,1765614194
88,115,1,82.0,1765867017
89,116,1,79.8,1782710123
90,118,1,92.8,1779448689
91,119,1,83.3,1783541525
92,120,1,90.8,1779679474
93,3,2,75.5,1769394428
94,4,2,80.5,1779111373
95,5,2,79.2,1781963371
96,6,2,84.2,1780924632
97,7,2,77.8,1776917357
98,8,2,60.8,1774207479
99,10,2,89.4,1776319301
100,11,2,91.9,1764149090
101,12,2,92.2,1762565418
102,13,2,72.7,1781694459
103,14,2,82.3,1760646584
104,15,2,78.3,1771242469
105,16,2,92.9,1779635968
106,17,2,81.0,1766500423
107,18,2,88.8,1781727390
108,19,2,74.7,1773029240
109,20,2,90.4,1764027377
110,22,2,92.1,1771741571
111,24,2,93.6,1781441988
112,26,2,89.4,1778881203
113,27,2,76.7,1762764308
114,30,2,85.4,1765512199
115,31,2,84.7,1774093153
116,32,2,83.7,1769450645
117,91,2,90.0,1780269634
118,92,2,86.4,1770610368
119,94,2,78.5,1780333286
120,95,2,91.3,1763489096
121,96,2,77.6,1759920826
122,98,2,97.5,1772622312
123,99,2,76.7,1785219650
124,100,2,73.2,1778262113
125,101,2,88.6,1778367915
126,102,2,86.9,1775758067
127,103,2,97.1,1778179949
128,105,2,73.9,1785820761
129,106,2,93.1,1762762806
130,107,2,75.1,1773769300
131,108,2,77.9,1780090675
132,109,2,79.7,1763818720
133,110,2,88.1,1784012790
134,112,2,78.9,1775134417
135,113,2,74.0,1779635563
136,114,2,84.2,1781872698
137,115,2,90.3,1763150209
138,116,2,92.5,1774088324
139,117,2,83.1,1782558210
140,118,2,93.5,1761616413
141,119,2,87.5,1783805356
142,33,3,96.5,1782109227
143,34,3,87.5,1763511114
144,36,3,97.0,1775529427
145,37,3,98.0,1781012033
146,38,3,91.8,1766305128
147,39,3,95.8,1778822294
148,40,3,97.2,1763056998
149,41,3,89.4,1779951704
150,42,3,79.5,1777189954
151,44,3,78.6,1778904592
152,48,3,81.4,1786789477
153,49,3,77.3,1776225809
154,51,3,87.8,1773590098
155,52,3,72.4,1771256310
156,53,3,84.0,1769868728
157,55,3,90.3,1785252013
158,56,3,78.3,1782471142
159,57,3,85.2,1782327017
160,61,3,93.8,1783595124
161,62,3,83.6,1768504496
162,91,3,81.8,1781206177
163,93,3,78.1,1766880660
164,94,3,90.3,1781542981
165,95,3,84.9,1771121751
166,96,3,80.6,1774562984
167,98,3,63.6,1773787196
168,99,3,79.5,1761995665
169,100,3,88.9,1784196717
170,102,3,88.3,1761424463
171,103,3,72.9,1785491052
172,104,3,97.9,1765089191
173,105,3,91.8,1773959546
174,106,3,90.0,1773264803
175,107,3,79.6,1775413761
176,108,3,82.7,1777889085
177,109,3,74.1,1779349485
178,110,3,84.9,1775286226
179,111,3,83.9,1772103252
180,113,3,76.1,1770399356
181,114,3,79.8,1784677195
182,115,3,94.0,1778642571
183,116,3,74.8,1768075133
184,117,3,97.8,1781109005
185,119,3,95.7,1777657841
186,3,4,89.6,1776126650
187,4,4,88.3,1773691173
188,5,4,92.5,1772698687
189,6,4,74.3,1777352272
190,8,4,94.8,1767372849
191,9,4,93.6,1776329471
192,12,4,84.2,1769035263
193,14,4,97.1,1770928441
194,15,4,72.4,1779092002
195,16,4,87.2,1767045608
196,17,4,65.8,1773069166
197,19,4,61.6,1761562576
198,21,4,79.9,1761013788
199,22,4,75.5,1773201903
200,23,4,82.9,1775379300
201,24,4,89.0,1784470710
202,25,4,72.9,1765477584
203,26,4,94.2,1763870411
204,27,4,95.4,1774062453
205,28,4,76.9,1781963401
206,30,4,97.2,1775697944
207,31,4,92.5,1772040336
208,33,4,80.5,1780550300
209,34,4,81.5,1765895654
210,35,4,92.8,1763101606
211,37,4,87.3,1779291267
212,38,4,91.3,1764137247
213,41,4,77.8,1782045292
214,43,4,83.9,1783269290
215,44,4,94.0,1773541516
216,45,4,73.9,1782841880
217,46,4,75.3,1774836235
218,47,4,81.9,1771269589
219,48,4,87.7,1781217697
220,49,4,90.7,1766510261
221,50,4,82.8,1759574689
222,51,4,80.1,1780782228
223,52,4,89.9,1769581161
224,53,4,74.4,1777577683
225,55,4,96.9,1777807686
226,56,4,81.2,1777480300
227,59,4,74.7,1773993255
228,60,4,77.8,1768777759
229,65,4,87.8,1776173202
230,66,4,76.7,1761771113
231,67,4,81.1,1783024062
232,68,4,73.8,1771652312
233,69,4,73.3,1766442472
234,70,4,81.6,1782540662
235,72,4,76.0,1780025560
236,73,4,79.1,1772455944
237,74,4,82.8,1776136272
238,75,4,83.2,1778424596
239,76,4,85.7,1786020261
240,77,4,73.4,1767625698
241,79,4,72.2,1779551021
242,80,4,85.8,1764131961
243,81,4,73.9,1764081359
244,82,4,84.0,1763523175
245,83,4,86.9,1763857582
246,84,4,82.5,1773009380
247,85,4,84.0,1787125642
248,86,4,94.0,1767938816
249,87,4,74.0,1779798750
250,90,4,85.3,1773120750
251,91,4,78.1,1775753204
252,92,4,76.0,1785961044
253,93,4,84.8,1782751760
254,96,4,80.2,1786468941
255,97,4,79.9,1773507541
256,98,4,73.9,1775169005
257,99,4,93.6,1776327313
258,101,4,82.0,1784665151
259,104,4,75.9,1769133209
260,105,4,97.5,1781058590
261,106,4,78.4,1770852031
262,107,4,87.9,1779574314
263,109,4,92.5,1773831024
264,110,4,86.5,1779145295
265,111,4,94.7,1787033664
266,112,4,95.8,1777407899
267,113,4,75.4,1772669052
268,114,4,81.8,1763947901
269,117,4,74.4,1784752894
270,118,4,81.4,1762317377
271,119,4,77.0,1782521913
272,120,4,94.0,1783473590
273,65,5,94.8,1772238274
274,66,5,64.5,1779388440
275,68,5,89.6,1774881913
276,69,5,91.6,1764187697
277,70,5,80.0,1779558336
278,71,5,81.6,1776072179
279,73,5,85.1,1774438873
280,74,5,92.8,1780145263
281,75,5,84.5,1763931395
282,77,5,62.1,1771337792
283,78,5,75.8,1772905532
284,80,5,96.2,1766701839
285,81,5,78.1,1766245764
286,82,5,80.3,1774949895
287,84,5,75.6,1779579119
288,86,5,84.2,1777327954
289,89,5,87.8,1783825092
290,90,5,63.0,1775890971
291,1,6,73.6,1772289662
292,2,6,72.4,1772318833
293,3,6,79.6,1764557213
294,4,6,76.9,1766249202
295,5,6,73.8,1782536693
296,6,6,86.4,1768829613
297,7,6,97.5,1776527100
298,8,6,81.0,1781290382
299,9,6,75.5,1774336447
300,10,6,93.6,1770543225
301,12,6,73.6,1761231903
302,13,6,77.2,1776075443
303,15,6,84.3,1774637618
304,16,6,81.3,1776685438
305,18,6,91.3,1780681280
306,19,6,84.9,1780354523
307,22,6,86.2,1768310292
308,23,6,80.0,1782118366
309,24,6,81.1,1781436429
310,26,6,74.0,1760055542
311,27,6,96.8,1770666984
312,28,6,72.9,1779914308
313,30,6,89.7,1781827849
314,31,6,86.9,1780306791
315,32,6,78.5,1768993383
316,34,6,92.1,1779424874
317,35,6,90.0,1770020994
318,36,6,94.2,1774715585
319,38,6,89.4,1764460253
320,39,6,95.2,1778590243
321,42,6,78.2,1770505044
322,43,6,84.2,1777323143
323,44,6,73.7,1779688175
324,46,6,75.3,1779580941
325,47,6,89.7,1780287518
326,49,6,83.2,1776586477
327,50,6,85.5,1766944052
328,51,6,81.0,1780781323
329,53,6,79.1,1779697764
330,54,6,85.1,1764085789
331,56,6,93.9,1773854346
332,57,6,61.1,1780636066
333,58,6,91.9,1774610066
334,59,6,95.1,1762229000
335,60,6,84.6,1771132141
336,61,6,83.8,1780795692
337,62,6,84.6,1772076871
338,63,6,94.4,1771342145
339,65,6,85.4,1765951861
340,66,6,79.0,1761172771
341,67,6,96.6,1781574401
342,68,6,93.2,1771201178
343,69,6,64.0,1761107839
344,70,6,84.9,1782191053
345,71,6,97.1,1759377682
346,72,6,79.3,1780867133
347,74,6,83.2,1776959190
348,76,6,77.1,1780523210
349,77,6,83.7,1779443613
350,79,6,82.2,1777318432
351,80,6,91.6,1758939960
352,81,6,73.0,1771330396
353,83,6,75.6,1781130379
354,84,6,97.8,1781244479
355,85,6,85.2,1781756346
356,86,6,84.3,1770810241
357,87,6,97.5,1776737965
358,89,6,78.9,1768804735
359,91,6,87.2,1762440907
360,92,6,75.8,1769803176
361,93,6,77.0,1781067462
362,94,6,90.0,1766638848
363,96,6,63.5,1771721436
364,97,6,85.7,1780061393
365,98,6,80.9,1780421675
366,100,6,77.0,1778107910
367,101,6,96.5,1774132492
368,103,6,81.1,1780347269
369,104,6,63.0,1777390098
370,105,6,93.3,1768417502
371,106,6,67.2,1757220661
372,107,6,89.1,1779842677
373,108,6,79.0,1783440541
374,109,6,88.0,1781700391
375,110,6,77.9,1781451394
376,111,6,90.7,1774503648
377,112,6,73.8,1770909585
378,113,6,84.4,1774504564
379,115,6,89.0,1767503678
